N,Peg
00,Sauce
01,SEED
02,SUN
03,SAM
04,ZERO
05,SEAL
06,SASH
07,SACK
08,SOFA
09,SUB
10,TOES
11,DAD
12,DUNE
13,DIME
14,TIRE
15,DOLL
16,TISSUE
17,DUCK
18,DOVE
19,TAPE
20,NOSE
21,NET
22,NUN
23,NEMO
24,NERO
25,NAIL
26,NOTCH
27,NECK
28,KNIFE
29,KNOB
30,MOUSE
31,MAT
32,MOON
33,MUMMY
34,MOWER
35,MULE
36,MATCH
37,MUG
38,MOVIE
39,MAP
40,ROSE
41,RAT
42,RAIN
43,RAM
44,ROAR
45,RAIL
46,RASH
47,ROCK
48,ROOF
49,ROPE
50,LACE
51,LOOT
52,LION
53,LAMB
54,LURE
55,LILY
56,LEASH
57,LOG
58,LAVA
59,LIP
60,CHEESE
61,SHEET
62,CHAIN
63,JAM
64,CHERRY
65,JELL-O
66,JUDGE
67,CHALK
68,CHEF
69,SHIP
70,GAS
71,CAT
72,CAN
73,COMB
74,CAR
75,COAL
76,CASH
77,COKE
78,CAVE
79,CAPE
80,FIZZ
81,FAT
82,FAN
83,FOAM
84,FIRE
85,FILE
86,FISH
87,FOG
88,FIFA
89,FIB
90,BUS
91,BAT
92,PEN
93,OPIUM
94,BEAR
95,BELL
96,BUSH
97,BOOK
98,BEEF
99,PIPE
